status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,iteration,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""x"": 2, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1668, ""0"": 2428}",0.5927734375,d09sm70kzhn0008v7ycg,ibm_sherbrooke,18,2.0,2.0,completed,0.5927734375,2025-05-01T15:58:21.052Z,2025-05-01T15:58:27.159Z,2025-05-01T15:58:23.630Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:58:24', stop='2025-05-01 15:58:26', size=4096>)])",1.8165529999999999
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""s"": 2, ""z"": 2, ""sdg"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2638, ""1"": 1458}",0.64404296875,d09smdhkzhn0008v7yf0,ibm_sherbrooke,19,2.0,2.0,completed,0.64404296875,2025-05-01T15:58:46.932Z,2025-05-01T15:58:52.833Z,2025-05-01T15:58:49.229Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:58:50', stop='2025-05-01 15:58:51', size=4096>)])",1.694936
completed,11,5,17,"{""h"": 6, ""cx"": 5, ""y"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1674, ""0"": 2422}",0.59130859375,d09smmad8drg008ymst0,ibm_sherbrooke,20,2.0,2.0,completed,0.59130859375,2025-05-01T15:59:13.708Z,2025-05-01T15:59:19.462Z,2025-05-01T15:59:16.206Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 15:59:16', stop='2025-05-01 15:59:18', size=4096>)])",1.704585
completed,13,7,28,"{""h"": 10, ""cx"": 7, ""sdg"": 4, ""s"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""01"": 722, ""11"": 946, ""10"": 1566, ""00"": 862}",0.21044921875,d09smybqnmvg00870b8g,ibm_sherbrooke,1,2.0,2.0,completed,0.21044921875,2025-05-01T15:59:53.763Z,2025-05-01T16:00:04.065Z,2025-05-01T15:59:56.184Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:00:01', stop='2025-05-01 16:00:03', size=4096>)])",1.743341
completed,13,7,28,"{""h"": 10, ""cx"": 7, ""s"": 3, ""sdg"": 3, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""00"": 2339, ""10"": 346, ""01"": 248, ""11"": 1163}",0.571044921875,d09sn6cnhqag008pef20,ibm_sherbrooke,2,2.0,2.0,completed,0.571044921875,2025-05-01T16:00:25.279Z,2025-05-01T16:00:32.956Z,2025-05-01T16:00:27.279Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:00:30', stop='2025-05-01 16:00:32', size=4096>)])",1.751264
completed,13,7,28,"{""cx"": 7, ""h"": 6, ""z"": 4, ""sdg"": 2, ""s"": 2, ""x"": 2, ""y"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""11"": 735, ""01"": 322, ""00"": 2410, ""10"": 629}",0.58837890625,d09sndx6rr3g0087691g,ibm_sherbrooke,3,2.0,2.0,completed,0.58837890625,2025-05-01T16:00:55.491Z,2025-05-01T16:01:01.864Z,2025-05-01T16:00:58.082Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:00:59', stop='2025-05-01 16:01:00', size=4096>)])",1.906666
completed,13,7,28,"{""cx"": 7, ""h"": 6, ""y"": 4, ""sdg"": 3, ""s"": 3, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""00"": 819, ""11"": 1026, ""10"": 1576, ""01"": 675}",0.199951171875,d09snkenhqag008pef80,ibm_sherbrooke,4,2.0,2.0,completed,0.199951171875,2025-05-01T16:01:17.146Z,2025-05-01T16:01:25.000Z,2025-05-01T16:01:19.912Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:01:22', stop='2025-05-01 16:01:24', size=4096>)])",1.720536
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""sdg"": 4, ""s"": 4, ""x"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""00"": 1921, ""11"": 1035, ""01"": 466, ""10"": 674}",0.468994140625,d09sntqrxz8g008a436g,ibm_sherbrooke,5,2.0,2.0,completed,0.468994140625,2025-05-01T16:01:46.958Z,2025-05-01T16:01:57.827Z,2025-05-01T16:01:54.569Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:01:55', stop='2025-05-01 16:01:57', size=4096>)])",1.771455
completed,13,7,28,"{""z"": 8, ""cx"": 7, ""h"": 6, ""y"": 2, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""01"": 506, ""11"": 816, ""00"": 970, ""10"": 1804}",0.23681640625,d09sp28rxz8g008a4390,ibm_sherbrooke,6,2.0,2.0,completed,0.23681640625,2025-05-01T16:02:18.044Z,2025-05-01T16:02:24.540Z,2025-05-01T16:02:20.989Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:02:21', stop='2025-05-01 16:02:23', size=4096>)])",1.7168700000000001
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""sdg"": 3, ""s"": 3, ""y"": 2, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""00"": 2356, ""01"": 333, ""10"": 645, ""11"": 762}",0.5751953125,d09sp91nhqag008pefe0,ibm_sherbrooke,7,2.0,2.0,completed,0.5751953125,2025-05-01T16:02:44.734Z,2025-05-01T16:02:54.128Z,2025-05-01T16:02:47.940Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:02:51', stop='2025-05-01 16:02:53', size=4096>)])",1.771607
completed,13,7,28,"{""cx"": 7, ""h"": 6, ""x"": 4, ""y"": 2, ""s"": 2, ""sdg"": 2, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""01"": 932, ""11"": 2069, ""00"": 491, ""10"": 604}",0.119873046875,d09sphad8drg008ymteg,ibm_sherbrooke,8,3.0,3.0,completed,0.119873046875,2025-05-01T16:03:17.367Z,2025-05-01T16:04:38.072Z,2025-05-01T16:04:25.591Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:04:35', stop='2025-05-01 16:04:37', size=4096>)])",2.030536
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""x"": 4, ""y"": 4, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""11"": 2113, ""10"": 627, ""01"": 883, ""00"": 473}",0.115478515625,d09sqc5d8drg008ymtpg,ibm_sherbrooke,9,2.0,2.0,completed,0.115478515625,2025-05-01T16:05:05.260Z,2025-05-01T16:05:19.801Z,2025-05-01T16:05:08.098Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:05:17', stop='2025-05-01 16:05:18', size=4096>)])",1.724691
completed,13,7,28,"{""h"": 10, ""cx"": 7, ""y"": 6, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""11"": 512, ""10"": 1748, ""00"": 1050, ""01"": 786}",0.25634765625,d09sqmyrxz8g008a43kg,ibm_sherbrooke,10,2.0,2.0,completed,0.25634765625,2025-05-01T16:05:40.017Z,2025-05-01T16:05:47.897Z,2025-05-01T16:05:43.559Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:05:45', stop='2025-05-01 16:05:46', size=4096>)])",1.784522
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""z"": 4, ""x"": 2, ""sdg"": 2, ""s"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""01"": 554, ""10"": 1817, ""00"": 936, ""11"": 789}",0.228515625,d09sqw76rr3g00876a00,ibm_sherbrooke,11,2.0,2.0,completed,0.228515625,2025-05-01T16:06:08.341Z,2025-05-01T16:06:15.938Z,2025-05-01T16:06:12.239Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:06:13', stop='2025-05-01 16:06:14', size=4096>)])",1.697229
completed,13,7,28,"{""cx"": 7, ""h"": 6, ""x"": 4, ""sdg"": 2, ""z"": 2, ""y"": 2, ""s"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""00"": 403, ""11"": 2034, ""01"": 940, ""10"": 719}",0.098388671875,d09sr30qnmvg00870cdg,ibm_sherbrooke,12,2.0,2.0,completed,0.098388671875,2025-05-01T16:06:36.463Z,2025-05-01T16:06:42.729Z,2025-05-01T16:06:39.047Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:06:39', stop='2025-05-01 16:06:41', size=4096>)])",1.9435310000000001
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""y"": 2, ""sdg"": 2, ""x"": 2, ""z"": 2, ""s"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""11"": 786, ""00"": 1032, ""10"": 1549, ""01"": 729}",0.251953125,d09sra1d8drg008ymv40,ibm_sherbrooke,13,2.0,2.0,completed,0.251953125,2025-05-01T16:07:04.238Z,2025-05-01T16:07:10.239Z,2025-05-01T16:07:06.904Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:07:07', stop='2025-05-01 16:07:09', size=4096>)])",1.730653
completed,13,7,28,"{""cx"": 7, ""h"": 6, ""y"": 6, ""x"": 4, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""10"": 744, ""11"": 1986, ""01"": 903, ""00"": 463}",0.113037109375,d09srgjrxz8g008a43xg,ibm_sherbrooke,14,2.0,2.0,completed,0.113037109375,2025-05-01T16:07:30.547Z,2025-05-01T16:07:36.134Z,2025-05-01T16:07:33.144Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:07:33', stop='2025-05-01 16:07:35', size=4096>)])",1.7242790000000001
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""z"": 4, ""s"": 2, ""sdg"": 2, ""y"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""11"": 855, ""10"": 809, ""00"": 2004, ""01"": 428}",0.4892578125,d09srr3kzhn0008v80cg,ibm_sherbrooke,15,2.0,2.0,completed,0.4892578125,2025-05-01T16:08:00.651Z,2025-05-01T16:11:05.819Z,2025-05-01T16:10:55.414Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:11:02', stop='2025-05-01 16:11:04', size=4096>)])",1.9435769999999999
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""y"": 4, ""s"": 3, ""sdg"": 3, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""10"": 2172, ""00"": 1495, ""11"": 212, ""01"": 217}",0.364990234375,d09stb9qnmvg00870dt0,ibm_sherbrooke,16,2.0,2.0,completed,0.364990234375,2025-05-01T16:11:25.656Z,2025-05-01T16:16:25.562Z,2025-05-01T16:14:13.737Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:16:22', stop='2025-05-01 16:16:24', size=4096>)])",1.7120090000000001
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""y"": 4, ""sdg"": 2, ""s"": 2, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""01"": 763, ""11"": 1118, ""00"": 830, ""10"": 1385}",0.20263671875,d09swwvqnmvg00870f2g,ibm_sherbrooke,17,2.0,2.0,completed,0.20263671875,2025-05-01T16:16:51.615Z,2025-05-01T16:20:04.774Z,2025-05-01T16:20:00.662Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:20:02', stop='2025-05-01 16:20:03', size=4096>)])",1.76921
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""s"": 3, ""sdg"": 3, ""y"": 2, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""00"": 885, ""11"": 1066, ""01"": 568, ""10"": 1577}",0.216064453125,d09syhjrxz8g008a46d0,ibm_sherbrooke,18,4.0,4.0,completed,0.216064453125,2025-05-01T16:20:22.445Z,2025-05-01T16:24:30.174Z,2025-05-01T16:20:32.999Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:24:26', stop='2025-05-01 16:24:29', size=4096>)])",3.169967
completed,13,7,28,"{""h"": 8, ""y"": 8, ""cx"": 7, ""x"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""00"": 1040, ""10"": 1672, ""11"": 922, ""01"": 462}",0.25390625,d09t0njd8drg008ymybg,ibm_sherbrooke,19,2.0,2.0,completed,0.25390625,2025-05-01T16:24:54.357Z,2025-05-01T16:28:37.321Z,2025-05-01T16:25:09.567Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:28:34', stop='2025-05-01 16:28:36', size=4096>)])",1.7599369999999999
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""s"": 4, ""sdg"": 4, ""y"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""10"": 1250, ""00"": 576, ""01"": 1701, ""11"": 569}",0.140625,d09t2m26rr3g00876ds0,ibm_sherbrooke,20,2.0,2.0,completed,0.140625,2025-05-01T16:29:05.221Z,2025-05-01T16:29:30.366Z,2025-05-01T16:29:08.190Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:29:27', stop='2025-05-01 16:29:29', size=4096>)])",1.93105
completed,15,9,39,"{""h"": 10, ""cx"": 9, ""s"": 6, ""sdg"": 6, ""measure"": 3, ""z"": 2, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,ibm,fixed_payload_experiments,"{""000"": 297, ""101"": 779, ""111"": 558, ""001"": 748, ""011"": 569, ""110"": 432, ""010"": 399, ""100"": 314}",0.072509765625,d09t2zkqnmvg00870gh0,ibm_sherbrooke,1,2.0,2.0,completed,0.072509765625,2025-05-01T16:29:51.126Z,2025-05-01T16:29:57.040Z,2025-05-01T16:29:53.660Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:29:54', stop='2025-05-01 16:29:56', size=4096>)])",1.748427
completed,15,9,39,"{""h"": 12, ""cx"": 9, ""y"": 4, ""s"": 3, ""sdg"": 3, ""measure"": 3, ""z"": 2, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,ibm,fixed_payload_experiments,"{""000"": 444, ""011"": 512, ""111"": 469, ""001"": 444, ""100"": 540, ""101"": 501, ""010"": 538, ""110"": 648}",0.1083984375,d09t6e9d8drg008yn070,ibm_sherbrooke,1,2.0,2.0,completed,0.1083984375,2025-05-01T16:37:14.041Z,2025-05-01T16:37:35.002Z,2025-05-01T16:37:29.842Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:37:32', stop='2025-05-01 16:37:34', size=4096>)])",1.947826
completed,15,9,39,"{""h"": 12, ""cx"": 9, ""s"": 6, ""sdg"": 6, ""measure"": 3, ""z"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,ibm,fixed_payload_experiments,"{""010"": 993, ""011"": 166, ""110"": 766, ""000"": 657, ""100"": 1052, ""111"": 163, ""101"": 185, ""001"": 114}",0.160400390625,d09t6tbqnmvg00870j4g,ibm_sherbrooke,2,2.0,2.0,completed,0.160400390625,2025-05-01T16:38:01.989Z,2025-05-01T16:38:08.785Z,2025-05-01T16:38:05.124Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:38:06', stop='2025-05-01 16:38:07', size=4096>)])",1.770043
completed,15,9,39,"{""h"": 12, ""cx"": 9, ""s"": 4, ""sdg"": 4, ""y"": 4, ""measure"": 3, ""z"": 2, ""cz"": 1}",6,3,0,0,False,False,3,9,ibm,fixed_payload_experiments,"{""011"": 526, ""100"": 516, ""101"": 491, ""001"": 542, ""010"": 477, ""111"": 497, ""000"": 522, ""110"": 525}",0.12744140625,d09t71md8drg008yn0gg,ibm_sherbrooke,3,2.0,2.0,completed,0.12744140625,2025-05-01T16:38:30.166Z,2025-05-01T16:38:36.598Z,2025-05-01T16:38:32.935Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:38:33', stop='2025-05-01 16:38:35', size=4096>)])",1.756847
